,taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],plant min height [m],plant max height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources,Raunkiaer plant life-form
0,Achillea millefolium,perennial,"Woodland fringes and clearings and tall forb habitats;Pastures, meadows, roadsides, stream sides, woodlands, waste grounds, dry or sandy soils, also in damp, clayey, and salty soils;Regularly or recently cultivated agricultural. horticultural and domestic habitats;Alpine and subalpine grasslands;Dry heaths;Grassland and tall forb habitats;Dry grasslands;Coniferous woodland",stem erect,stoloniferous; stolon,stoloniferous; stolon,0.34,0.06,0.65,woolly,,,pinnate,,,linear; lanceolate; subulate; oblong,acute,,linear,glabrate,2.75,9.25,4.25,25.0,corymb,,,,,,white,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,,,,100.0,10.0,,,,,,,18,adventitious,deep,30.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 15}, 'fna': {'text': 14, 'tabular': 1}}",chamaephyte
1,Achillea ptarmica,perennial,"Roadsides, disturbed sites, open fields and pastures, in sandy or gravelly soils or in moist to drying silty soils;Raised bogs;Bare tilled. fallow or recently abandoned arable land",stem erect,,,0.51,0.2,0.78,glabrous,,,,,,lanceolate; linear,acute,,serrulate; linear,glabrous;soft hairs,0.3,0.5,0.3,1.0,,,,,,,white,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,18,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 0, 'tabular': 12}, 'fna': {'text': 13, 'tabular': 1}}",hemicryptophyte
2,Agrostis canina,perennial,,,stoloniferous; stolon; rhizome,rhizome; stoloniferous; stolon,0.43,0.1,0.7,,,,,,,,acute,,entire; involute,,0.1,7.65,0.55,12.5,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned; awn,,,,,,,,,,14,fibrous,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 13, 'tabular': 0}}",hemicryptophyte
3,Agrostis capillaris,perennial,Woodland fringes and clearings and tall forb habitats;Mixed taiga woodland with [Betula];Grassland and tall forb habitats;Dry grasslands;Broadleaved deciduous woodland;Coniferous woodland,stem erect,stoloniferous; stolon; rhizome,rhizome; stoloniferous; stolon,0.41,0.1,0.7,,,,,,,,acute,,entire,,0.1,7.75,1.55,12.5,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned; awn,,,,,,,,,,28,fibrous,,75.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 12, 'tabular': 0}}",hemicryptophyte
4,Agrostis curtisii,perennial,,stem erect,,,0.38,0.1,0.6,,,,,,,,acute,,entire,,0.02,20.0,0.02,20.0,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned; awn,,,,,,,,,,,fibrous,,30.0,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 7, 'tabular': 11}, 'fna': {'tabular': 0}}",hemicryptophyte
5,Agrostis stolonifera,perennial,,stem erect,stoloniferous; stolon; rhizome,rhizome; stoloniferous; stolon,0.46,0.08,1.0,,,,,,,,acute,,entire,,0.12,5.3,1.02,10.0,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awn,,,,,,,,,,28,fibrous,shallow,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 13, 'tabular': 0}}",hemicryptophyte
6,Agrostis vinealis,perennial,Dry. open perennial and annual siliceous grassland. including inland dune grassland,stem erect,stoloniferous; rhizome,rhizome; stoloniferous,0.32,0.1,0.7,,,,,,,,acute,,entire; involute,,0.1,0.3,2.0,12.5,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned; awn,,,,,,,,,,28,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 10}, 'fna': {'text': 12, 'tabular': 0}}",hemicryptophyte
7,Aira caryophyllea,annual,Dry. open perennial and annual siliceous grassland. including inland dune grassland,stem erect,,,0.23,0.03,0.5,,,,,,,,acute,,entire,glabrous,0.03,2.62,0.16,9.5,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned; awn,,,,,,,,,,14,fibrous,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 8, 'tabular': 11}, 'fna': {'text': 8, 'tabular': 0}}",therophyte
8,Aira praecox,annual,,stem erect,,,0.08,0.02,0.2,,,,,,,obtuse,acute; obtuse,,entire; involute,glabrous,0.03,2.6,0.14,5.0,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned; awn,,10.0,1.0,,,,,,,14,fibrous,,5.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 10, 'tabular': 14}, 'fna': {'text': 8, 'tabular': 0}}",therophyte
9,Ajuga reptans,perennial,Grassland and tall forb habitats;Disused rural constructions;Broadleaved deciduous woodland;Meso- and eutrophic [Quercus]. [Carpinus]. [Fraxinus]. [Acer]. [Tilia]. [Ulmus] and related woodland,stem erect,stolon; rhizome,rhizome; stolon,0.18,0.1,0.3,hairy,,,,,rosette,obovate; obtuse; oblong,obtuse,,crenate; entire,glabrous,4.0,7.0,4.0,7.0,spike,,,,,,blue,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 12}, 'fna': {'tabular': 0}}",hemicryptophyte
10,Alchemilla alpina,perennial,"Meadows, herb slopes, moist rock ledges;Alpine and subalpine grasslands",stem erect,,,0.12,0.05,0.2,,,,,,,orbicular; reniform; elliptic; oblanceolate; oblong,obtuse,,,glabrous;soft hairs,2.5,3.5,2.5,3.5,,,,,,,green,,,,hermaphrodite,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 10}, 'fna': {'text': 8, 'tabular': 1}}",hemicryptophyte
11,Alchemilla filicaulis,perennial,,,,,0.18,0.05,0.4,hairy,,,,,,reniform,obtuse,rounded,undulate,dense hairs,,,,,cyme,,,,,,green,,,,hermaphrodite,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 7, 'tabular': 12}, 'fna': {'text': 8, 'tabular': 0}}",hemicryptophyte
12,Alchemilla glabra,perennial,Meadows;Mountain hay meadows;Alpine and subalpine grasslands,stem erect,,,0.3,0.03,0.6,glabrous,,,,,,reniform; ovate,obtuse; ovate,rounded,undulate,glabrous,,,,,,,,,,,green,,,,hermaphrodite,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 9, 'tabular': 12}, 'fna': {'text': 7, 'tabular': 1}}",hemicryptophyte
13,Alchemilla filicaulis subsp. vestita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 0}, 'ecoflora': {'tabular': 0}, 'fna': {'tabular': 0}}",
14,Alchemilla vulgaris,perennial,Dry grasslands;Coarse permanent grassland and tall herbs. usually mown but little grazed,stem erect,,,0.37,0.37,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'tabular': 0}, 'fna': {'tabular': 0}}",
15,Alnus glutinosa,perennial,"Stream banks, moist flood plains, damp depressions, borders of wetlands",stem erect; tree,,trunk,13.2,3.0,20.0,glabrous,,,,,,obtuse; obovate; truncate; obcordate; cuneate,obtuse; retuse; acute; truncate; cuneate,truncate; rounded; cuneate,serrate,glabrous;viscid,3.0,8.5,3.0,9.0,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,,,,,100.0,10.0,,,,,,,28,tap root,deep,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 12, 'tabular': 15}, 'fna': {'text': 13, 'tabular': 1}}",phanerophyte
16,Alopecurus alpinus,perennial,,,rhizome,rhizome,0.32,0.1,0.6,,,,,,,,acute,,entire,glabrous,0.25,22.0,0.25,22.0,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned,,,,,,,,,,,fibrous,,,"{'leda': {'tabular': 0}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'tabular': 0}}",hemicryptophyte
17,Alopecurus geniculatus,annual; perennial,,,,,0.26,0.15,0.45,,,,,,,,acute,,entire,glabrous,0.3,6.35,1.1,12.0,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned; awn,,,,,,,,,,28,fibrous,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 11}, 'fna': {'text': 7, 'tabular': 0}}",hemicryptophyte
18,Ammophila arenaria,perennial,,stem erect,rhizome,rhizome,0.87,0.5,1.2,,,,,,,,acute,,entire,glabrous,0.6,45.3,30.3,90.0,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,bristle; awn,,,,,,,,,,14,fibrous,,100.0,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 11, 'tabular': 12}, 'fna': {'text': 10, 'tabular': 0}}",hemicryptophyte
19,Anagallis tenella,perennial,Coastal habitats,,,,0.09,0.05,0.15,glabrous,,,,,,ovate,obtuse; ovate,,entire,glabrous,0.5,0.5,0.5,0.5,,,,,,,,,,,hermaphrodite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 10}, 'fna': {'tabular': 0}}",chamaephyte
