,taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],plant min height [m],plant max height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources,Raunkiaer plant life-form
0,Achillea millefolium,perennial,"Woodland fringes and clearings and tall forb habitats;Pastures, meadows, roadsides, stream sides, woodlands, waste grounds, dry or sandy soils, also in damp, clayey, and salty soils;Regularly or recently cultivated agricultural. horticultural and domestic habitats;Alpine and subalpine grasslands;Dry heaths;Grassland and tall forb habitats;Dry grasslands;Coniferous woodland",,stolon,stolon,175.9,6.0,475.0,woolly,,,pinnate,,,subulate; oblong; linear; lanceolate,acute,,linear,glabrate,5.0,25.0,20.0,25.0,corymb,,,,,,white,,,,,,,,,,,insect,,,,,,,,,,,,,100.0,10.0,,,,,,,18,adventitious,deep,300.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 15}, 'fna': {'text': 14, 'tabular': 1}}",chamaephyte
1,Achillea ptarmica,perennial,"Roadsides, disturbed sites, open fields and pastures, in sandy or gravelly soils or in moist to drying silty soils;Raised bogs;Bare tilled. fallow or recently abandoned arable land",,,,196.9,2.0,775.0,,,,,,,lanceolate; linear,acute,,serrulate; linear,glabrous;soft hairs,3.0,5.0,3.0,1.0,,,,,,,white,,,,,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,18,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 0, 'tabular': 12}, 'fna': {'text': 13, 'tabular': 1}}",hemicryptophyte
2,Agrostis canina,perennial,,,rhizome; stolon,stolon,1750000000000002.8,1.0,7000000000000001.0,,,,,,,,acute,,involute; entire,,1.0,9.0,1.0,12.5,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awn; awned,,,,,,,,,,14,fibrous,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 13, 'tabular': 0}}",hemicryptophyte
3,Agrostis capillaris,perennial,Woodland fringes and clearings and tall forb habitats;Mixed taiga woodland with [Betula];Grassland and tall forb habitats;Dry grasslands;Broadleaved deciduous woodland;Coniferous woodland,,rhizome; stolon,stolon,1750000000000008.2,1.0,7000000000000001.0,,,,,,,,acute,,entire,,1.0,10.0,2.0,12.5,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned; awn,,,,,,,,,,28,fibrous,,750.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 12, 'tabular': 0}}",hemicryptophyte
4,Agrostis curtisii,perennial,,,,,3.8,1.0,6.0,,,,,,,,acute,,entire,,2.0,20.0,2.0,20.0,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awn; awned,,,,,,,,,,,fibrous,,300.0,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 7, 'tabular': 11}, 'fna': {'tabular': 0}}",hemicryptophyte
5,Agrostis stolonifera,perennial,,,rhizome; stolon,stolon,10.3,4.0,15.0,,,,,,,,acute,,entire,,3.5,8.0,3.5,10.0,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awn,,,,,,,,,,28,fibrous,shallow,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 13, 'tabular': 0}}",hemicryptophyte
6,Agrostis vinealis,perennial,Dry. open perennial and annual siliceous grassland. including inland dune grassland,,rhizome,,1750000000000004.2,1.0,7000000000000001.0,,,,,,,,acute,,involute; entire,,1.0,3.0,2.0,12.5,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awned; awn,,,,,,,,,,28,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 10}, 'fna': {'text': 12, 'tabular': 0}}",hemicryptophyte
7,Aira caryophyllea,annual,Dry. open perennial and annual siliceous grassland. including inland dune grassland,,,,5.1,1.0,11.0,,,,,,,,acute,,entire,glabrous,3.0,15.0,3.0,9.5,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awn; awned,,,,,,,,,,14,fibrous,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 8, 'tabular': 11}, 'fna': {'text': 8, 'tabular': 0}}",therophyte
8,Aira praecox,annual,,,,,19.6,2.0,75.0,,,,,,,obtuse,obtuse; acute,,involute; entire,glabrous,3.0,3.5,14.0,5.0,,,,,,,green,,,,hermaphrodite,,,,,,,,,,,,,,,,,,awn; awned,,10.0,1.0,,,,,,,14,fibrous,,50.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 10, 'tabular': 14}, 'fna': {'text': 8, 'tabular': 0}}",therophyte
9,Ajuga reptans,perennial,Grassland and tall forb habitats;Disused rural constructions;Broadleaved deciduous woodland;Meso- and eutrophic [Quercus]. [Carpinus]. [Fraxinus]. [Acer]. [Tilia]. [Ulmus] and related woodland,,rhizome; stolon,stolon,32.3,1.0,185.0,hairy,,,,,rosette,obtuse; obovate; oblong,obtuse,,crenate; entire,glabrous,4.0,7.0,4.0,7.0,spike,,,,,,blue,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 12}, 'fna': {'tabular': 0}}",hemicryptophyte
10,Alchemilla alpina,perennial,"Meadows, herb slopes, moist rock ledges;Alpine and subalpine grasslands",,,,13.2,1.0,82.0,,,,,,,orbicular; reniform; oblong; elliptic; oblanceolate,obtuse,,,glabrous;soft hairs,25.0,35.0,25.0,35.0,,,,,,,green,,,,hermaphrodite,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 10}, 'fna': {'text': 8, 'tabular': 1}}",hemicryptophyte
