internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
191405,Liquidambar yunnanensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES,ALTINGIACEAE,Liquidambar,yunnanensis,,,,,(Rehder &amp; E.H.Wilson) Ickert-Bond &amp; J.Wen,
191474,Quercus thorelii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,thorelii,,,,,Hickel &amp; A.Camus,
191475,Quercus saravanensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,saravanensis,,,,,A.Camus,
191479,Quercus jinpinensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,jinpinensis,,,,,(Y.C.Hsu &amp; H.Wei Jen) C.C.Huang,
191483,Quercus chrysocalyx,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,chrysocalyx,,,,,Hickel &amp; A.Camus,
191486,Magnolia floribunda,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,floribunda,,,,,(Finet &amp; Gagnep.) Figlar   ,This species is in Flora of China as <em>Michelia floribunda</em> Finet &amp; Gagnep.
191488,Magnolia liliiflora,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,liliiflora,,,,,Desr. ,
191493,Magnolia duclouxii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,duclouxii,,,,,(Finet &amp; Gagnep.) Hu   ,
191494,Magnolia fulva,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,fulva,,,,,(Hung T.Chang &amp; B.L.Chen) Figlar,
191506,Magnolia chevalieri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,chevalieri,,,,,(Dandy) V.S.Kumar,
191508,Magnolia garrettii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,garrettii,,,,,(Craib) V.S.Kumar,In Flora of China this species is known as <em>Manglietia garrettii</em> Craib.
191510,Magnolia championii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,championii,,,,,Benth. ,
191518,Magnolia masticata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,masticata,,,,,(Dandy) Figlar,
191519,Magnolia balansae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,balansae,,,,,Aug.DC.,
191874,Magnolia hookeri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,hookeri,,,,,(Cubitt &amp; W.W.Sm.) D.C.S.Raju &amp; M.P.Nayar,In Flora of China as Manglietia hookeri Cubitt & W. W. Smith
193914,Magnolia caveana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,caveana,,,,,(Hook.f. &amp; Thomson) D.C.S.Raju &amp; M.P.Nayar,
