internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
13416798,Hedychium coronarium,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Hedychium,coronarium,,,,,J.König,
13507110,Alpinia zerumbet,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Alpinia,zerumbet,,,,,(Pers.) B.L.Burtt &amp; R.M.Sm.,"The true identity of this taxon remains unclear. This name is applied to multiple taxa within a complex of numerous cryptic species many of which are cultivated as ornametals, leading to the very wide distribution pattern&#160;(J.&#160;Leong-Škorničková pers. comm. 2020)."
44392454,Elettariopsis sumatrana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Elettariopsis,sumatrana,,,,,Valeton,
44393467,Pleuranthodium pterocarpum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Pleuranthodium,pterocarpum,,,,,(K.Schum.) R.M.Sm.,
44393180,Alpinia platylopha,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Alpinia,platylopha,,,,,(Ridl.) Loes.,
44392515,Curcuma ornata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Curcuma,ornata,,,,,Wall. ex Baker,
88308047,Curcuma longa,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Curcuma,longa,,,,,L.,
88308170,Zingiber officinale,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Zingiber,officinale,,,,,Roscoe,
88322723,Curcuma phaeocaulis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Curcuma,phaeocaulis,,,,,Valeton,
96816015,Zingiber zerumbet,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Zingiber,zerumbet,,,,,(L.) Roscoe ex Sm.,The name is currently applied to a complex of one widespread species and a few stenoendemic species (J.&#160;Leong-Škornicková pers. comm.).
123707252,Musa tonkinensis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,MUSACEAE,Musa,tonkinensis,,,,,"R.V.Valmayor, L.D.Danh &amp; Häkkinen","According to Häkkinen (2013),&#160;<em>Musa tonkinensis&#160;</em>R.V.Valmayor, L.D.Danh &amp; Häkkinen is assigned to&#160;<em>Musa&#160;</em>sect.&#160;<em>Musa</em>&#160;Cheesman. By this definition,&#160;<em>M. tonkinensis&#160;</em>is a wild relative of edible crop bananas and plantains under Taxon Group 2, according to the taxon group definition by Maxted&#160;<em>et al.</em>&#160;(2006)."
117226914,Alpinia malaccensis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Alpinia,malaccensis,,,,,(Burm.f.) Roscoe,"The name <em>Alpinia malaccensis</em> is applied to numerous taxa within a taxonomically complicated complex, which is why the distribution pattern is so broad. Further taxonomic studies are needed to better understand the true identity of <em>A. malaccensis</em> and taxa embedded in this complex (J.&#160;Leong-Škorničková pers. comm. 2020)."
117233930,Curcuma zanthorrhiza,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Curcuma,zanthorrhiza,,,,,Roxb.,
