internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
200401,Pyrus vsevolodovii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Pyrus,vsevolodovii,,,,,T.S.Heideman,<em>Pyrus vsevolodii</em> Heideman differs from other species of the section Pyrus by morphology of leaves and fruits. <br/> <br/>The name is accepted according to Czerepanov (1995) and Akopian (2007).
200405,Pyrus chosrovica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Pyrus,chosrovica,,,,,Gladkova,<em>Pyrus chosrovica </em>Gladkova differs from other species of <em>Pyrus</em> by form and shape of leaves and fruits. Fruits are large (3-4 cm in diameter).
200429,Rosa isaevii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Rosa,isaevii,,,,,Gadzh. &amp; Iskand.,<em>Rosa isaevii </em>Gadzh. &amp; Iskend. belongs to the section Cinnamomeae DC.
200430,Rosa abutalybovii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Rosa,abutalybovii,,,,,Gadzh.,<em>Rosa abutalybovii</em> Gadzh. belongs to the section Cinnamomeae DC.
200433,Rosa sjunikii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Rosa,sjunikii,,,,,Jaroschenko,"<em>Rosa sjunikii</em> Jarosch. was described in 1947 from surroundings of the village Khnatsakh in Zangezur floristic region of Armenia. This is a low shrub with reddish bark; leaflets are glandular from both sides; flowers are small, white."
200438,Rosa jaroshenkoi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Rosa,jaroshenkoi,,,,,Gadzh. &amp; Iskend.,<em>Rosa jaroshenkoi</em> Gadzh. &amp; Iskend. belongs to the section Cinnamomeae DC.
200439,Rosa hracziana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Rosa,hracziana,,,,,Tamamsch.,"<em>Rosa hracziana </em>Tamamsch. was described by S. G. Tamamshyan in 1994  from the right bank of the River Razdan in Aparan floristic region of Armenia. The species is distinguished by carnose, dark red, stoutish and quite long fruit-stalks."
167816,Urtica kioviensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,URTICACEAE,Urtica,kioviensis,,,,,Rogow.,"<p>There are no significant ta<span lang=""EN-GB"">xonomic issues associated with this name.</p>"
172078,Prunus klokovii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Prunus,klokovii,,,,,(Sobko),"<span style=""font-style: italic;"">Prunus klokovii </span>(Sobko) is a  wild  relative of almond, <em>P.</em> <em>dulcis</em> (Mill.) D. A. Webb, <span style=""font-style: italic;""></span><span style=""font-style: italic;""></span>peach and nectarine, <span style=""font-style: italic;"">P</span>.  <span style=""font-style: italic;"">persica </span>(L.) Batsch, plum, <span style=""font-style: italic;"">P</span>. <span style=""font-style: italic;"">domestica</span>  L., sloe, <span style=""font-style: italic;"">P</span>. <span style=""font-style: italic;"">spinosa</span> L. and sweet cherry, <span style=""font-style: italic;"">P</span>. <span style=""font-style: italic;"">avium</span>  (L.) L. It is very closely related to <span style=""font-style: italic;"">P. fruticosa</span>."
172170,Malus sylvestris,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,sylvestris,,,,,(L.) Mill.,"Three subspecies are native to Europe: <span style=""font-style: italic;"">M</span>. <span style=""font-style: italic;"">sylvestris </span>subsp. <span style=""font-style: italic;"">orientalis </span>(Uglitzk.) Browicz, <span style=""font-style: italic;"">M</span>. <span style=""font-style: italic;"">sylvestris </span>subsp. <span style=""font-style: italic;"">praecox </span>(Pall.) Soó and <span style=""font-style: italic;"">M</span>.<span style=""font-style: italic;""> sylvestris </span>(L.) Mill. subsp.<span style=""font-style: italic;""> sylvestris</span> (Kurtto 2009).<span style=""font-style: italic;""></span><br/><br/><span style=""font-style: italic;"">Malus sylvestris&#160;</span>(L.) Mill. is a primary wild relative of apple,&#160;<span style=""font-style: italic;"">M</span>.&#160;<span style=""font-style: italic;"">domestica&#160;</span>Borkh. (GRIN 2010)."
