Species name,Genus,Major group
Liquidambar acalycina,Liquidambar,Angiosperm
Liquidambar formosana,Liquidambar,Angiosperm
Quercus acrodonta,Quercus,Angiosperm
Quercus acutissima,Quercus,Angiosperm
Quercus aliena,Quercus,Angiosperm
Quercus aliena var. acutiserrata,Quercus,Angiosperm
Quercus aliena var. aliena,Quercus,Angiosperm
Quercus aliena var. pekingensis,Quercus,Angiosperm
Quercus aquifolioides,Quercus,Angiosperm
Quercus baronii,Quercus,Angiosperm
Quercus bawanglingensis,Quercus,Angiosperm
Quercus chenii,Quercus,Angiosperm
Quercus cocciferoides,Quercus,Angiosperm
Quercus dentata,Quercus,Angiosperm
Quercus dolicholepis,Quercus,Angiosperm
Quercus engleriana,Quercus,Angiosperm
Quercus fabri,Quercus,Angiosperm
Quercus franchetii,Quercus,Angiosperm
Quercus fulvisericeus,Quercus,Angiosperm
Quercus griffithii,Quercus,Angiosperm
Quercus guyavifolia,Quercus,Angiosperm
Quercus kingiana,Quercus,Angiosperm
Quercus lanata,Quercus,Angiosperm
Quercus lodicosa,Quercus,Angiosperm
Quercus marlipoensis,Quercus,Angiosperm
Quercus mongolica,Quercus,Angiosperm
Quercus monimotricha,Quercus,Angiosperm
Quercus multinervis,Quercus,Angiosperm
Quercus oxyphylla,Quercus,Angiosperm
Quercus palustris,Quercus,Angiosperm
Quercus phillyreoides,Quercus,Angiosperm
Quercus rehderiana,Quercus,Angiosperm
Quercus robur,Quercus,Angiosperm
Quercus semecarpifolia,Quercus,Angiosperm
Quercus senescens,Quercus,Angiosperm
Quercus serrata,Quercus,Angiosperm
Quercus setulosa,Quercus,Angiosperm
Quercus spinosa,Quercus,Angiosperm
Quercus tarokoensis,Quercus,Angiosperm
Quercus utilis,Quercus,Angiosperm
Quercus variabilis,Quercus,Angiosperm
Quercus yunnanensis,Quercus,Angiosperm
Magnolia bawangensis,Magnolia,Angiosperm
Magnolia grandiflora,Magnolia,Angiosperm
Betula albosinensis,Betula,Angiosperm
Betula alnoides,Betula,Angiosperm
Betula austrosinensis,Betula,Angiosperm
Betula calcicola,Betula,Angiosperm
Betula chinensis,Betula,Angiosperm
Betula costata,Betula,Angiosperm
Betula cylindrostachya,Betula,Angiosperm
Betula dahurica,Betula,Angiosperm
Betula delavayi,Betula,Angiosperm
Betula delavayi var. delavayi,Betula,Angiosperm
Betula delavayi var. microstachya,Betula,Angiosperm
Betula delavayi var. polyneura,Betula,Angiosperm
Betula ermanii,Betula,Angiosperm
Betula ermanii var. ermanii,Betula,Angiosperm
Betula ermanii var. macrostrobila,Betula,Angiosperm
Betula ermanii var. yingkiliensis,Betula,Angiosperm
Betula fargesii,Betula,Angiosperm
Betula fruticosa,Betula,Angiosperm
Betula fujianensis,Betula,Angiosperm
Betula gmelinii,Betula,Angiosperm
Betula gynoterminalis,Betula,Angiosperm
Betula halophila,Betula,Angiosperm
Betula humilis,Betula,Angiosperm
Betula insignis,Betula,Angiosperm
Betula jinpingensis,Betula,Angiosperm
Betula jiulungensis,Betula,Angiosperm
Betula luminifera,Betula,Angiosperm
Betula microphylla,Betula,Angiosperm
Betula microphylla var. ebinurica,Betula,Angiosperm
Betula microphylla var. harasiica,Betula,Angiosperm
Betula microphylla var. latibracteata,Betula,Angiosperm
Betula microphylla var. paludosa,Betula,Angiosperm
Betula microphylla var. tumantica,Betula,Angiosperm
Betula middendorfii,Betula,Angiosperm
Betula ovalifolia,Betula,Angiosperm
Betula pendula,Betula,Angiosperm
Betula platyphylla,Betula,Angiosperm
Betula potaninii,Betula,Angiosperm
Betula rhombibracteata,Betula,Angiosperm
Betula rotundifolia,Betula,Angiosperm
Betula schmidtii,Betula,Angiosperm
Betula tianschanica,Betula,Angiosperm
Betula trichogemma,Betula,Angiosperm
Betula utilis,Betula,Angiosperm
Carpinus chuniana,Carpinus,Angiosperm
Carpinus cordata,Carpinus,Angiosperm
Carpinus cordata var. chinensis,Carpinus,Angiosperm
Carpinus cordata var. cordata,Carpinus,Angiosperm
Carpinus cordata var. mollis,Carpinus,Angiosperm
Carpinus dayongina,Carpinus,Angiosperm
Carpinus fangiana,Carpinus,Angiosperm
Carpinus fargesiana,Carpinus,Angiosperm
Carpinus fargesiana var. fargesiana,Carpinus,Angiosperm
Carpinus fargesiana var. hwai,Carpinus,Angiosperm
Carpinus firmifolia,Carpinus,Angiosperm
Carpinus glanduloso-punctata,Carpinus,Angiosperm
Carpinus hebestroma,Carpinus,Angiosperm
Carpinus henryana,Carpinus,Angiosperm
Carpinus hupeana,Carpinus,Angiosperm
Carpinus kawakamii,Carpinus,Angiosperm
Carpinus kweichowensis,Carpinus,Angiosperm
Carpinus londoniana,Carpinus,Angiosperm
Carpinus londoniana var. lanceolata,Carpinus,Angiosperm
Carpinus londoniana var. latifolia,Carpinus,Angiosperm
Carpinus londoniana var. londoniana,Carpinus,Angiosperm
Carpinus londoniana var. xiphobracteata,Carpinus,Angiosperm
Carpinus microphylla,Carpinus,Angiosperm
Carpinus minutiserrata,Carpinus,Angiosperm
Carpinus mollicoma,Carpinus,Angiosperm
Carpinus monbeigiana,Carpinus,Angiosperm
Carpinus oblongifolia,Carpinus,Angiosperm
Carpinus omeiensis,Carpinus,Angiosperm
Carpinus polyneura,Carpinus,Angiosperm
Carpinus pubescens,Carpinus,Angiosperm
Carpinus purpurinervis,Carpinus,Angiosperm
Carpinus putoensis,Carpinus,Angiosperm
Carpinus rankanensis,Carpinus,Angiosperm
Carpinus rankanensis var. matsudae,Carpinus,Angiosperm
Carpinus rankanensis var. rankanensis,Carpinus,Angiosperm
Carpinus rupestris,Carpinus,Angiosperm
Carpinus shensiensis,Carpinus,Angiosperm
Carpinus stipulata,Carpinus,Angiosperm
Carpinus sungpanensis,Carpinus,Angiosperm
Carpinus tientaiensis,Carpinus,Angiosperm
Carpinus tsaiana,Carpinus,Angiosperm
Carpinus tschonoskii,Carpinus,Angiosperm
Carpinus tsunyihensis,Carpinus,Angiosperm
Carpinus turczaninowii,Carpinus,Angiosperm
Carpinus viminea,Carpinus,Angiosperm
Carpinus viminea var. chiukiangensis,Carpinus,Angiosperm
Carpinus viminea var. viminea,Carpinus,Angiosperm
Corylus chinensis,Corylus,Angiosperm
Corylus fargesii,Corylus,Angiosperm
Corylus ferox,Corylus,Angiosperm
Corylus ferox var. ferox,Corylus,Angiosperm
Corylus ferox var. thibetica,Corylus,Angiosperm
Corylus heterophylla,Corylus,Angiosperm
Corylus heterophylla var. heterophylla,Corylus,Angiosperm
Corylus heterophylla var. sutchuanensis,Corylus,Angiosperm
Corylus mandshurica,Corylus,Angiosperm
Corylus wangii,Corylus,Angiosperm
Corylus yunnanensis,Corylus,Angiosperm
Amorphophallus albus,Amorphophallus,Angiosperm
Amorphophallus coaetaneus,Amorphophallus,Angiosperm
Amorphophallus corrugatus,Amorphophallus,Angiosperm
Amorphophallus dunnii,Amorphophallus,Angiosperm
Amorphophallus hayi,Amorphophallus,Angiosperm
Amorphophallus henryi,Amorphophallus,Angiosperm
Amorphophallus hirtus,Amorphophallus,Angiosperm
Amorphophallus kachinensis,Amorphophallus,Angiosperm
Amorphophallus kiusianus,Amorphophallus,Angiosperm
Amorphophallus konjac,Amorphophallus,Angiosperm
Amorphophallus krausei,Amorphophallus,Angiosperm
Amorphophallus paeoniifolius,Amorphophallus,Angiosperm
Amorphophallus tonkinensis,Amorphophallus,Angiosperm
Amorphophallus xiei,Amorphophallus,Angiosperm
