Species name,family,Major group
Liquidambar,ALTINGIACEAE,Angiosperm
Quercus,FAGACEAE,Angiosperm
Magnolia,MAGNOLIACEAE,Angiosperm
Betula,BETULACEAE,Angiosperm
Carpinus,BETULACEAE,Angiosperm
Corylus,BETULACEAE,Angiosperm
Amorphophallus,ARACEAE,Angiosperm
Rhaphidophora,ARACEAE,Angiosperm
Cupressus,CUPRESSACEAE,Angiosperm
Podocarpus,PODOCARPACEAE,Angiosperm
Juniperus,CUPRESSACEAE,Angiosperm
Ottelia,HYDROCHARITACEAE,Angiosperm
Sagittaria,ALISMATACEAE,Angiosperm
Gnetum,GNETACEAE,Angiosperm
Mangifera,ANACARDIACEAE,Angiosperm
Leucomeris,ASTERACEAE,Angiosperm
Astragalus,FABACEAE,Angiosperm
Moullava,FABACEAE,Angiosperm
Campylotropis,FABACEAE,Angiosperm
Lespedeza,FABACEAE,Angiosperm
Asparagus,ASPARAGACEAE,Angiosperm
Pistacia,ANACARDIACEAE,Angiosperm
Fargesia,POACEAE,Angiosperm
Carex,CYPERACEAE,Angiosperm
Amygdalus,ROSACEAE,Angiosperm
Armeniaca,ROSACEAE,Angiosperm
Malus,ROSACEAE,Angiosperm
Cerasus,ROSACEAE,Angiosperm
Camellia,THEACEAE,Angiosperm
Salix,SALICACEAE,Angiosperm
Pyrenaria,THEACEAE,Angiosperm
Stewartia,THEACEAE,Angiosperm
Fraxinus,OLEACEAE,Angiosperm
Acer,SAPINDACEAE,Angiosperm
Amomum,ZINGIBERACEAE,Angiosperm
Utricularia,LENTIBULARIACEAE,Angiosperm
Ilex,AQUIFOLIACEAE,Angiosperm
Mallotus,EUPHORBIACEAE,Angiosperm
Dalbergia,FABACEAE,Angiosperm
Styrax,STYRACACEAE,Angiosperm
Polyalthiopsis,ANNONACEAE,Angiosperm
Symplocos,SYMPLOCACEAE,Angiosperm
