Species name,Family,Major group
Acer anhweiense,,Angiosperm
Acer pinnatinervium,,Angiosperm
Amomum glabrum,,Angiosperm
Amomum sericeum,,Angiosperm
Amorphophallus hayi,,Angiosperm
Amygdalus mira,,Angiosperm
Armeniaca mume,,Angiosperm
Asparagus cochinchinensis,,Angiosperm
Asparagus filicinus,,Angiosperm
Astragalus retusifoliatus,,Angiosperm
Betula bomiensis,,Angiosperm
Camellia cherryana,,Angiosperm
Camellia grandibracteata,,Angiosperm
Camellia leptophylla,,Angiosperm
Camellia reticulata,,Angiosperm
Camellia sinensis,,Angiosperm
Campylotropis argentea,,Angiosperm
Carex motuoensis,,Angiosperm
Carpinus rupestris,,Angiosperm
Cerasus glandulosa,,Angiosperm
Cerasus pleiocerasus,,Angiosperm
Corylus potaninii,,Angiosperm
Corylus wangii,,Angiosperm
Dalbergia burmanica,,Angiosperm
Dalbergia polyadelpha,,Angiosperm
Fargesia albocerea,,Angiosperm
Fargesia mairei,,Angiosperm
Fraxinus hookeri,,Angiosperm
Fraxinus trifoliolata,,Angiosperm
Ilex bidens,,Angiosperm
Lespedeza thunbergii,,Angiosperm
Leucomeris decora,,Angiosperm
Liquidambar yunnanensis,,Angiosperm
Magnolia balansae,,Angiosperm
Magnolia caveana,,Angiosperm
Magnolia championii,,Angiosperm
Magnolia chevalieri,,Angiosperm
Magnolia compressa,,Angiosperm
Magnolia doltsopa,,Angiosperm
Magnolia duclouxii,,Angiosperm
Magnolia fistulosa,,Angiosperm
Magnolia floribunda,,Angiosperm
Magnolia fulva,,Angiosperm
Magnolia garrettii,,Angiosperm
Magnolia henryi,,Angiosperm
Magnolia hookeri,,Angiosperm
Magnolia hypolampra,,Angiosperm
Magnolia iteophylla,,Angiosperm
Magnolia kaifui,,Angiosperm
Magnolia kisopa,,Angiosperm
Magnolia laevifolia,,Angiosperm
Magnolia lanuginosa,,Angiosperm
Magnolia lawii,,Angiosperm
Magnolia leveilleana,,Angiosperm
Magnolia liliiflora,,Angiosperm
Magnolia masticata,,Angiosperm
Magnolia opipara,,Angiosperm
Magnolia sphaerantha,,Angiosperm
Magnolia yunnanensis,,Angiosperm
Magnolia yuyuanensis,,Angiosperm
Magnolia zhengyiana,,Angiosperm
Mallotus oreophilus,,Angiosperm
Malus doumeri,,Angiosperm
Malus halliana,,Angiosperm
Malus ombrophila,,Angiosperm
Malus prattii,,Angiosperm
Malus prunifolia,,Angiosperm
Malus sikkimensis,,Angiosperm
Malus spectabilis,,Angiosperm
Malus toringo,,Angiosperm
Malus toringoides,,Angiosperm
Malus transitoria,,Angiosperm
Malus yunnanensis,,Angiosperm
Mangifera indica,,Angiosperm
Mangifera persiciformis,,Angiosperm
Moullava tortuosa,,Angiosperm
Ottelia balansae,,Angiosperm
Pistacia weinmanniifolia,,Angiosperm
Polyalthiopsis chinensis,,Angiosperm
Pyrenaria khasiana,,Angiosperm
Quercus brevicalyx,,Angiosperm
Quercus chapensis,,Angiosperm
Quercus chrysocalyx,,Angiosperm
Quercus gomeziana,,Angiosperm
Quercus jinpinensis,,Angiosperm
Quercus pentacycla,,Angiosperm
Quercus saravanensis,,Angiosperm
Quercus thorelii,,Angiosperm
Rhaphidophora laichauensis,,Angiosperm
Sagittaria tengtsungensis,,Angiosperm
Salix babylonica,,Angiosperm
Stewartia calcicola,,Angiosperm
Stewartia densivillosa,,Angiosperm
Stewartia laotica,,Angiosperm
Stewartia medogensis,,Angiosperm
Styrax buchananii,,Angiosperm
Symplocos spectabilis,,Angiosperm
Utricularia forrestii,,Angiosperm
