Species name,Family,Major group
Pyrus vsevolodovii,ROSACEAE,Angiosperm
Pyrus chosrovica,ROSACEAE,Angiosperm
Urtica kioviensis,URTICACEAE,Angiosperm
Malus crescimannoi,ROSACEAE,Angiosperm
Malus sylvestris,ROSACEAE,Angiosperm
Pyrus vallis-demonis,ROSACEAE,Angiosperm
Pilea topensis,URTICACEAE,Angiosperm
Prunus cerasifera,ROSACEAE,Angiosperm
Prunus muris,ROSACEAE,Angiosperm
Phenax laxiflorus,URTICACEAE,Angiosperm
Amygdalus mira,ROSACEAE,Angiosperm
Armeniaca mume,ROSACEAE,Angiosperm
Cerasus dielsiana,ROSACEAE,Angiosperm
Malus honanensis,ROSACEAE,Angiosperm
Malus kansuensis,ROSACEAE,Angiosperm
Malus mandshurica,ROSACEAE,Angiosperm
Malus ombrophila,ROSACEAE,Angiosperm
Malus orientalis,ROSACEAE,Angiosperm
Malus prattii,ROSACEAE,Angiosperm
Malus spectabilis,ROSACEAE,Angiosperm
Malus yunnanensis,ROSACEAE,Angiosperm
Malus zumi,ROSACEAE,Angiosperm
Prunus armeniaca,ROSACEAE,Angiosperm
Prunus argentea,ROSACEAE,Angiosperm
Prunus ussuriensis,ROSACEAE,Angiosperm
Malus chitralensis,ROSACEAE,Angiosperm
Malus tschonoskii,ROSACEAE,Angiosperm
Prunus bifrons,ROSACEAE,Angiosperm
Prunus bokhariensis,ROSACEAE,Angiosperm
Prunus canescens,ROSACEAE,Angiosperm
Prunus concinna,ROSACEAE,Angiosperm
Prunus ferganensis,ROSACEAE,Angiosperm
Prunus incana,ROSACEAE,Angiosperm
Prunus rivularis,ROSACEAE,Angiosperm
Armeniaca mandshurica,ROSACEAE,Angiosperm
Cerasus pleiocerasus,ROSACEAE,Angiosperm
Malus muliensis,ROSACEAE,Angiosperm
Malus sikkimensis,ROSACEAE,Angiosperm
Prunus jaquemontii,ROSACEAE,Angiosperm
Malus doumeri,ROSACEAE,Angiosperm
Malus halliana,ROSACEAE,Angiosperm
Ulmus glabra,ULMACEAE,Angiosperm
Ulmus laevis,ULMACEAE,Angiosperm
Pyrus megrica,ROSACEAE,Angiosperm
Sorbus baldaccii,ROSACEAE,Angiosperm
Sorbus buekkensis,ROSACEAE,Angiosperm
Sorbus decipientiformis,ROSACEAE,Angiosperm
Sorbus dominii,ROSACEAE,Angiosperm
Sorbus futakiana,ROSACEAE,Angiosperm
Sorbus joannis,ROSACEAE,Angiosperm
Sorbus latissima,ROSACEAE,Angiosperm
Sorbus velebitica,ROSACEAE,Angiosperm
Cotoneaster bumthangensis,ROSACEAE,Angiosperm
Cotoneaster hicksii,ROSACEAE,Angiosperm
Cotoneaster thimphuensis,ROSACEAE,Angiosperm
Sorbus pelsoensis,ROSACEAE,Angiosperm
Sorbus pseudosemiincisa,ROSACEAE,Angiosperm
Crataegus karadaghensis,ROSACEAE,Angiosperm
Sorbus vajdae,ROSACEAE,Angiosperm
Sorbus zolyomii,ROSACEAE,Angiosperm
Sorbus budaiana,ROSACEAE,Angiosperm
Sorbus ulmifolia,ROSACEAE,Angiosperm
Sorbus croceocarpa,ROSACEAE,Angiosperm
Sorbus herculis,ROSACEAE,Angiosperm
Sorbus domugledica,ROSACEAE,Angiosperm
Cotoneaster raboutensis,ROSACEAE,Angiosperm
Pyrus ciancioi,ROSACEAE,Angiosperm
Sorbus stankovii,ROSACEAE,Angiosperm
Malus dasyphylla,ROSACEAE,Angiosperm
Sorbus teodori,ROSACEAE,Angiosperm
Pyrus nivalis,ROSACEAE,Angiosperm
Crataegus meyeri,ROSACEAE,Angiosperm
Ficus hotteana,MORACEAE,Angiosperm
Sarcomphalus crenatus,RHAMNACEAE,Angiosperm
Frangula grandiflora,RHAMNACEAE,Angiosperm
Ficus dalbertisii,MORACEAE,Angiosperm
Ficus flagellaris,MORACEAE,Angiosperm
Ficus porrecta,MORACEAE,Angiosperm
Coussapoa darienensis,URTICACEAE,Angiosperm
Micromeles cuspidata,ROSACEAE,Angiosperm
Ficus aureobrunnea,MORACEAE,Angiosperm
Celtis trinervia,CANNABACEAE,Angiosperm
Prunus tenella,ROSACEAE,Angiosperm
Ficus auricoma,MORACEAE,Angiosperm
Ficus subglabritepala,MORACEAE,Angiosperm
Ficus juglandiformis,MORACEAE,Angiosperm
Prunus fenzliana,ROSACEAE,Angiosperm
Prunus incisa,ROSACEAE,Angiosperm
Malus toringo,ROSACEAE,Angiosperm
Coussapoa cupularis,URTICACEAE,Angiosperm
Coussapoa scabra,URTICACEAE,Angiosperm
Ficus ridleyana,MORACEAE,Angiosperm
Prunus kaengkrachanensis,ROSACEAE,Angiosperm
Scutia colombiana,RHAMNACEAE,Angiosperm
Naucleopsis jamariensis,MORACEAE,Angiosperm
Colubrina cubensis,RHAMNACEAE,Angiosperm
Hedychium coronarium,ZINGIBERACEAE,Angiosperm
Alpinia zerumbet,ZINGIBERACEAE,Angiosperm
Elettariopsis sumatrana,ZINGIBERACEAE,Angiosperm
Pleuranthodium pterocarpum,ZINGIBERACEAE,Angiosperm
Alpinia platylopha,ZINGIBERACEAE,Angiosperm
Curcuma ornata,ZINGIBERACEAE,Angiosperm
Curcuma longa,ZINGIBERACEAE,Angiosperm
Zingiber officinale,ZINGIBERACEAE,Angiosperm
Curcuma phaeocaulis,ZINGIBERACEAE,Angiosperm
Zingiber zerumbet,ZINGIBERACEAE,Angiosperm
Musa tonkinensis,MUSACEAE,Angiosperm
Alpinia malaccensis,ZINGIBERACEAE,Angiosperm
Curcuma zanthorrhiza,ZINGIBERACEAE,Angiosperm
Etlingera elatior,ZINGIBERACEAE,Angiosperm
Kaempferia galanga,ZINGIBERACEAE,Angiosperm
Alpinia assimilis,ZINGIBERACEAE,Angiosperm
Alpinia ludwigiana,ZINGIBERACEAE,Angiosperm
Alpinia padacanca,ZINGIBERACEAE,Angiosperm
Alpinia romburghiana,ZINGIBERACEAE,Angiosperm
Alpinia submutica,ZINGIBERACEAE,Angiosperm
Amomum subulatum,ZINGIBERACEAE,Angiosperm
Boesenbergia albolutea,ZINGIBERACEAE,Angiosperm
Boesenbergia armeniaca,ZINGIBERACEAE,Angiosperm
Boesenbergia minor,ZINGIBERACEAE,Angiosperm
Boesenbergia oligosperma,ZINGIBERACEAE,Angiosperm
Boesenbergia parva,ZINGIBERACEAE,Angiosperm
Boesenbergia tillandsiodes,ZINGIBERACEAE,Angiosperm
Boesenbergia variegata,ZINGIBERACEAE,Angiosperm
Boesenbergia vittata,ZINGIBERACEAE,Angiosperm
Camptandra gracillima,ZINGIBERACEAE,Angiosperm
Curcuma aurantiaca,ZINGIBERACEAE,Angiosperm
Curcuma euchroma,ZINGIBERACEAE,Angiosperm
Curcuma heyneana,ZINGIBERACEAE,Angiosperm
Curcuma loerzingii,ZINGIBERACEAE,Angiosperm
Curcuma mangga,ZINGIBERACEAE,Angiosperm
Curcuma pambrosima,ZINGIBERACEAE,Angiosperm
Curcuma petiolata,ZINGIBERACEAE,Angiosperm
Curcuma purpurascens,ZINGIBERACEAE,Angiosperm
Curcuma sylvatica,ZINGIBERACEAE,Angiosperm
Curcuma viridiflora,ZINGIBERACEAE,Angiosperm
Curcuma zedoaria,ZINGIBERACEAE,Angiosperm
Etlingera apus-hang,ZINGIBERACEAE,Angiosperm
Etlingera diepenhorstii,ZINGIBERACEAE,Angiosperm
Etlingera fulgens,ZINGIBERACEAE,Angiosperm
Etlingera sericea,ZINGIBERACEAE,Angiosperm
Etlingera valida,ZINGIBERACEAE,Angiosperm
Etlingera walang,ZINGIBERACEAE,Angiosperm
Geocharis aurantiaca,ZINGIBERACEAE,Angiosperm
Geocharis macrostemon,ZINGIBERACEAE,Angiosperm
Geostachys angustifolia,ZINGIBERACEAE,Angiosperm
Geostachys annamensis,ZINGIBERACEAE,Angiosperm
Geostachys holttumii,ZINGIBERACEAE,Angiosperm
Geostachys montana,ZINGIBERACEAE,Angiosperm
Geostachys pierreana,ZINGIBERACEAE,Angiosperm
Geostachys tratensis,ZINGIBERACEAE,Angiosperm
Globba arracanensis,ZINGIBERACEAE,Angiosperm
Globba corneri,ZINGIBERACEAE,Angiosperm
Globba fecunda,ZINGIBERACEAE,Angiosperm
Globba hasseltii,ZINGIBERACEAE,Angiosperm
Globba macrocarpa,ZINGIBERACEAE,Angiosperm
Globba paniculata,ZINGIBERACEAE,Angiosperm
Globba wengeri,ZINGIBERACEAE,Angiosperm
Haplochorema sumatranum,ZINGIBERACEAE,Angiosperm
Hedychium borneense,ZINGIBERACEAE,Angiosperm
Hedychium intermedium,ZINGIBERACEAE,Angiosperm
Hornstedtia elongata,ZINGIBERACEAE,Angiosperm
Kaempferia parviflora,ZINGIBERACEAE,Angiosperm
Plagiostachys oblanceolata,ZINGIBERACEAE,Angiosperm
Plagiostachys sumatrensis,ZINGIBERACEAE,Angiosperm
Pleuranthodium pelecystylum,ZINGIBERACEAE,Angiosperm
Scaphochlamys anomala,ZINGIBERACEAE,Angiosperm
Zingiber curtisii,ZINGIBERACEAE,Angiosperm
Zingiber elatius,ZINGIBERACEAE,Angiosperm
Zingiber gracile,ZINGIBERACEAE,Angiosperm
Zingiber inflexum,ZINGIBERACEAE,Angiosperm
Zingiber macroglossum,ZINGIBERACEAE,Angiosperm
Zingiber macrorrhynchus,ZINGIBERACEAE,Angiosperm
Zingiber ottensii,ZINGIBERACEAE,Angiosperm
Zingiber spectabile,ZINGIBERACEAE,Angiosperm
Zingiber stenostachys,ZINGIBERACEAE,Angiosperm
Zingiber vanlithianum,ZINGIBERACEAE,Angiosperm
Alpinia macrocrista,ZINGIBERACEAE,Angiosperm
Alpinia pusilla,ZINGIBERACEAE,Angiosperm
Curcuma cotuana,ZINGIBERACEAE,Angiosperm
Etlingera mendumiae,ZINGIBERACEAE,Angiosperm
Etlingera stenophylla,ZINGIBERACEAE,Angiosperm
Zingiber castaneum,ZINGIBERACEAE,Angiosperm
Amomum chevalieri,ZINGIBERACEAE,Angiosperm
Amomum dealbatum,ZINGIBERACEAE,Angiosperm
Meistera echinocarpa,ZINGIBERACEAE,Angiosperm
Meistera gagnepainii,ZINGIBERACEAE,Angiosperm
Amomum glabrum,ZINGIBERACEAE,Angiosperm
Amomum longipetiolatum,ZINGIBERACEAE,Angiosperm
Amomum sericeum,ZINGIBERACEAE,Angiosperm
Wurfbainia vera,ZINGIBERACEAE,Angiosperm
Zingiber ligulatum,ZINGIBERACEAE,Angiosperm
Zingiber purpureum,ZINGIBERACEAE,Angiosperm
Musa lanceolata,MUSACEAE,Angiosperm
Liquidambar yunnanensis,ALTINGIACEAE,Angiosperm
Quercus thorelii,FAGACEAE,Angiosperm
Quercus saravanensis,FAGACEAE,Angiosperm
Quercus jinpinensis,FAGACEAE,Angiosperm
Quercus chrysocalyx,FAGACEAE,Angiosperm
Magnolia floribunda,MAGNOLIACEAE,Angiosperm
Magnolia liliiflora,MAGNOLIACEAE,Angiosperm
Magnolia duclouxii,MAGNOLIACEAE,Angiosperm
Magnolia fulva,MAGNOLIACEAE,Angiosperm
Magnolia chevalieri,MAGNOLIACEAE,Angiosperm
Magnolia garrettii,MAGNOLIACEAE,Angiosperm
Magnolia championii,MAGNOLIACEAE,Angiosperm
Magnolia masticata,MAGNOLIACEAE,Angiosperm
Magnolia balansae,MAGNOLIACEAE,Angiosperm
Magnolia hookeri,MAGNOLIACEAE,Angiosperm
Magnolia caveana,MAGNOLIACEAE,Angiosperm
Magnolia compressa,MAGNOLIACEAE,Angiosperm
Magnolia doltsopa,MAGNOLIACEAE,Angiosperm
Magnolia kisopa,MAGNOLIACEAE,Angiosperm
Magnolia leveilleana,MAGNOLIACEAE,Angiosperm
Magnolia yuyuanensis,MAGNOLIACEAE,Angiosperm
Betula bomiensis,BETULACEAE,Angiosperm
Carpinus rupestris,BETULACEAE,Angiosperm
Corylus potaninii,BETULACEAE,Angiosperm
Corylus wangii,BETULACEAE,Angiosperm
Amorphophallus hayi,ARACEAE,Angiosperm
Rhaphidophora laichauensis,ARACEAE,Angiosperm
Magnolia henryi,MAGNOLIACEAE,Angiosperm
Cupressus duclouxiana,CUPRESSACEAE,Angiosperm
Podocarpus subtropicalis,PODOCARPACEAE,Angiosperm
Juniperus microsperma,CUPRESSACEAE,Angiosperm
Magnolia hypolampra,MAGNOLIACEAE,Angiosperm
Ottelia balansae,HYDROCHARITACEAE,Angiosperm
Sagittaria tengtsungensis,ALISMATACEAE,Angiosperm
Gnetum catasphaericum,GNETACEAE,Angiosperm
Gnetum gracilipes,GNETACEAE,Angiosperm
Mangifera persiciformis,ANACARDIACEAE,Angiosperm
Leucomeris decora,ASTERACEAE,Angiosperm
Magnolia fistulosa,MAGNOLIACEAE,Angiosperm
Magnolia iteophylla,MAGNOLIACEAE,Angiosperm
Magnolia laevifolia,MAGNOLIACEAE,Angiosperm
Magnolia lanuginosa,MAGNOLIACEAE,Angiosperm
Magnolia opipara,MAGNOLIACEAE,Angiosperm
Magnolia sphaerantha,MAGNOLIACEAE,Angiosperm
Magnolia yunnanensis,MAGNOLIACEAE,Angiosperm
Magnolia zhengyiana,MAGNOLIACEAE,Angiosperm
Astragalus retusifoliatus,FABACEAE,Angiosperm
Moullava tortuosa,FABACEAE,Angiosperm
Campylotropis argentea,FABACEAE,Angiosperm
Lespedeza thunbergii,FABACEAE,Angiosperm
Asparagus cochinchinensis,ASPARAGACEAE,Angiosperm
Asparagus filicinus,ASPARAGACEAE,Angiosperm
Pistacia weinmanniifolia,ANACARDIACEAE,Angiosperm
Fargesia albocerea,POACEAE,Angiosperm
Carex motuoensis,CYPERACEAE,Angiosperm
Fargesia mairei,POACEAE,Angiosperm
Amygdalus mira,ROSACEAE,Angiosperm
Armeniaca mume,ROSACEAE,Angiosperm
Malus ombrophila,ROSACEAE,Angiosperm
Malus prattii,ROSACEAE,Angiosperm
Malus prunifolia,ROSACEAE,Angiosperm
Malus spectabilis,ROSACEAE,Angiosperm
Malus toringoides,ROSACEAE,Angiosperm
Malus transitoria,ROSACEAE,Angiosperm
Malus yunnanensis,ROSACEAE,Angiosperm
Cerasus glandulosa,ROSACEAE,Angiosperm
Cerasus pleiocerasus,ROSACEAE,Angiosperm
Malus sikkimensis,ROSACEAE,Angiosperm
Malus doumeri,ROSACEAE,Angiosperm
Malus halliana,ROSACEAE,Angiosperm
Camellia grandibracteata,THEACEAE,Angiosperm
Salix babylonica,SALICACEAE,Angiosperm
Camellia sinensis,THEACEAE,Angiosperm
Camellia cherryana,THEACEAE,Angiosperm
Camellia reticulata,THEACEAE,Angiosperm
Pyrenaria khasiana,THEACEAE,Angiosperm
Stewartia calcicola,THEACEAE,Angiosperm
Stewartia densivillosa,THEACEAE,Angiosperm
Stewartia medogensis,THEACEAE,Angiosperm
Stewartia laotica,THEACEAE,Angiosperm
Mangifera indica,ANACARDIACEAE,Angiosperm
Quercus brevicalyx,FAGACEAE,Angiosperm
Quercus gomeziana,FAGACEAE,Angiosperm
Quercus pentacycla,FAGACEAE,Angiosperm
Magnolia kaifui,MAGNOLIACEAE,Angiosperm
Magnolia lawii,MAGNOLIACEAE,Angiosperm
Fraxinus hookeri,OLEACEAE,Angiosperm
Fraxinus trifoliolata,OLEACEAE,Angiosperm
Acer anhweiense,SAPINDACEAE,Angiosperm
Quercus chapensis,FAGACEAE,Angiosperm
Amomum glabrum,ZINGIBERACEAE,Angiosperm
Amomum sericeum,ZINGIBERACEAE,Angiosperm
Utricularia forrestii,LENTIBULARIACEAE,Angiosperm
Ilex bidens,AQUIFOLIACEAE,Angiosperm
Mallotus oreophilus,EUPHORBIACEAE,Angiosperm
Acer pinnatinervium,SAPINDACEAE,Angiosperm
Dalbergia burmanica,FABACEAE,Angiosperm
Camellia leptophylla,THEACEAE,Angiosperm
Malus toringo,ROSACEAE,Angiosperm
Dalbergia polyadelpha,FABACEAE,Angiosperm
Styrax buchananii,STYRACACEAE,Angiosperm
Polyalthiopsis chinensis,ANNONACEAE,Angiosperm
Symplocos spectabilis,SYMPLOCACEAE,Angiosperm
