Major group,Family,Species name
Angiosperm,Compositae,Achillea millefolium 
Angiosperm,Compositae,Achillea ptarmica 
Angiosperm,Poaceae,Agrostis canina
Angiosperm,Poaceae,Agrostis capillaris 
Angiosperm,Poaceae,Agrostis curtisii 
Angiosperm,Poaceae,Agrostis stolonifera 
Angiosperm,Poaceae,Agrostis vinealis 
Angiosperm,Poaceae,Aira caryophyllea 
Angiosperm,Poaceae,Aira praecox 
Angiosperm,Lamiaceae,Ajuga reptans 
Angiosperm,Rosaceae,Alchemilla alpina 
Angiosperm,Rosaceae,Alchemilla filicaulis 
Angiosperm,Rosaceae,Alchemilla glabra 
Angiosperm,Rosaceae,Alchemilla vestita 
Angiosperm,Rosaceae,Alchemilla vulgaris
Lichen,Parmeliaceae,Alectoria nigricans 
Lichen,Parmeliaceae,Alectoria ochroleuca 
Lichen,Parmeliaceae,Alectoria sarmentosa 
Angiosperm,Betulaceae,Alnus glutinosa 
Angiosperm,Poaceae,Alopecurus alpinus 
Angiosperm,Poaceae,Alopecurus geniculatus 
Angiosperm,Poaceae,Ammophila arenaria 
Angiosperm,Primulaceae,Anagallis tenella 
Bryophyte,Anastrophyllaceae,Anastrepta orcadensis 
Bryophyte,Anastrophyllaceae,Anastrophyllum donianum 
Bryophyte,Andreaeaceae,Andreaea rothii 
Angiosperm,Ericaceae,Andromeda polifolia 
Angiosperm,Ranunculaceae,Anemone nemorosa 
Bryophyte,Aneuraceae,Aneura pinguis 
Angiosperm,Apiaceae,Angelica sylvestris 
Angiosperm,Compositae,Antennaria dioica 
Bryophyte,Antheliaceae,Anthelia julacea 
Angiosperm,Poaceae,Anthoxanthum odoratum 
Angiosperm,Leguminosae,Anthyllis vulneraria 
Angiosperm,Apiaceae,Apium inundatum 
Angiosperm,Ericaceae,Arctostaphylos alpinus 
Angiosperm,Ericaceae,Arctostaphylos uva-ursi 
Angiosperm,Plumbaginaceae,Armeria maritima 
Angiosperm,Poaceae,Arrhenatherum elatius 
Angiosperm,Leguminosae,Astragalus danicus 
Pteridophyte,Athyriaceae,Athyrium filix-femina 
Angiosperm,Amaranthaceae,Atriplex prostrata 
Bryophyte,Aulacomniaceae,Aulacomnium palustre 
Angiosperm,Poaceae,Avenula pubescens 
Angiosperm,Alismataceae,Baldellia ranunculoides 
Bryophyte,Anastrophyllaceae,Barbilophozia floerkei 
Bryophyte,Anastrophyllaceae,Barbilophozia lycopodioides 
Angiosperm,Orobanchaceae,Bartsia alpina 
Bryophyte,Lepidoziaceae,Bazzania pearsonii 
Bryophyte,Lepidoziaceae,Bazzania tricrenata 
Angiosperm,Compositae,Bellis perennis 
Angiosperm,Apiaceae,Berula erecta 
Angiosperm,Betulaceae,Betula nana 
Angiosperm,Betulaceae,Betula pubescens 
Pteridophyte,Blechnaceae,Blechnum spicant 
