Species name,Genus,Major group
Hedychium bijiangense,Hedychium,Angiosperm
Hedychium bipartitum,Hedychium,Angiosperm
Hedychium brevicaule,Hedychium,Angiosperm
Hedychium coccineum,Hedychium,Angiosperm
Hedychium convexum,Hedychium,Angiosperm
Hedychium coronarium,Hedychium,Angiosperm
Hedychium densiflorum,Hedychium,Angiosperm
Hedychium efilamentosum,Hedychium,Angiosperm
Hedychium flavescens,Hedychium,Angiosperm
Hedychium flavum,Hedychium,Angiosperm
Hedychium forrestii,Hedychium,Angiosperm
Hedychium forrestii var. forrestii,Hedychium,Angiosperm
Hedychium forrestii var. latebracteatum,Hedychium,Angiosperm
Hedychium glabrum,Hedychium,Angiosperm
Hedychium kwangsiense,Hedychium,Angiosperm
Hedychium longipetalum,Hedychium,Angiosperm
Hedychium menghaiense,Hedychium,Angiosperm
Hedychium menglianense,Hedychium,Angiosperm
Hedychium neocarneum,Hedychium,Angiosperm
Hedychium nutantiflorum,Hedychium,Angiosperm
Hedychium parvibracteatum,Hedychium,Angiosperm
Hedychium pauciflorum,Hedychium,Angiosperm
Hedychium puerense,Hedychium,Angiosperm
Hedychium qingchengense,Hedychium,Angiosperm
Hedychium simaoense,Hedychium,Angiosperm
Hedychium sinoaureum,Hedychium,Angiosperm
Hedychium spicatum,Hedychium,Angiosperm
Hedychium spicatum var. acuminatum,Hedychium,Angiosperm
Hedychium spicatum var. spicatum,Hedychium,Angiosperm
Hedychium tengchongense,Hedychium,Angiosperm
Hedychium tienlinense,Hedychium,Angiosperm
Hedychium villosum,Hedychium,Angiosperm
Hedychium villosum var. tenuiflorum,Hedychium,Angiosperm
Hedychium villosum var. villosum,Hedychium,Angiosperm
Hedychium ximengense,Hedychium,Angiosperm
Hedychium yungjiangense,Hedychium,Angiosperm
Hedychium yunnanense,Hedychium,Angiosperm
Alpinia bambusifolia,Alpinia,Angiosperm
Alpinia blepharocalyx,Alpinia,Angiosperm
Alpinia blepharocalyx var. blepharocalyx,Alpinia,Angiosperm
Alpinia blepharocalyx var. glabrior,Alpinia,Angiosperm
Alpinia brevis,Alpinia,Angiosperm
Alpinia calcarata,Alpinia,Angiosperm
Alpinia conchigera,Alpinia,Angiosperm
Alpinia conghuanensis,Alpinia,Angiosperm
Alpinia coriacea,Alpinia,Angiosperm
Alpinia coriandriodora,Alpinia,Angiosperm
Alpinia dolichocephala,Alpinia,Angiosperm
