Species name,Family,Major group
Alpinia bambusifolia,,Angiosperm
Alpinia blepharocalyx,,Angiosperm
Alpinia blepharocalyx var. blepharocalyx,,Angiosperm
Alpinia blepharocalyx var. glabrior,,Angiosperm
Alpinia brevis,,Angiosperm
Alpinia calcarata,,Angiosperm
Alpinia conchigera,,Angiosperm
Alpinia conghuanensis,,Angiosperm
Alpinia coriacea,,Angiosperm
Alpinia coriandriodora,,Angiosperm
Alpinia dolichocephala,,Angiosperm
Alpinia emaculata,,Angiosperm
Alpinia flabellata,,Angiosperm
Alpinia formosana,,Angiosperm
Alpinia galanga,,Angiosperm
Alpinia galanga var. galanga,,Angiosperm
Alpinia galanga var. pyramidata,,Angiosperm
Alpinia globosa,,Angiosperm
Alpinia graminifolia,,Angiosperm
Alpinia guangdongensis,,Angiosperm
Alpinia guinanensis,,Angiosperm
Alpinia hainanensis,,Angiosperm
Alpinia intermedia,,Angiosperm
Alpinia japonica,,Angiosperm
Alpinia jianganfeng,,Angiosperm
Alpinia jingxiensis,,Angiosperm
Alpinia kawakamii,,Angiosperm
Alpinia kusshakuensis,,Angiosperm
Alpinia kwangsiensis,,Angiosperm
Alpinia maclurei,,Angiosperm
Alpinia maclurei var. guangdongensis,,Angiosperm
Alpinia malaccensis,,Angiosperm
Alpinia menghaiensis,,Angiosperm
Alpinia mesanthera,,Angiosperm
Alpinia nanchuanensis,,Angiosperm
Alpinia napoensis,,Angiosperm
Alpinia nigra,,Angiosperm
Alpinia oblongifolia,,Angiosperm
Alpinia officinarum,,Angiosperm
Alpinia oui,,Angiosperm
Alpinia ovata,,Angiosperm
Alpinia ovoideicarpa,,Angiosperm
Alpinia oxyphylla,,Angiosperm
Alpinia pinnanensis,,Angiosperm
Alpinia platychilus,,Angiosperm
Alpinia polyantha,,Angiosperm
Alpinia pricei,,Angiosperm
Alpinia psilogyna,,Angiosperm
Alpinia pumila,,Angiosperm
Alpinia rubromaculata,,Angiosperm
Alpinia rugosa,,Angiosperm
Alpinia sessiliflora,,Angiosperm
Alpinia shimadae,,Angiosperm
Alpinia sichuanensis,,Angiosperm
Alpinia stachyodes,,Angiosperm
Alpinia stachyodes var. stachyodes,,Angiosperm
Alpinia stachyodes var. yangchunensis,,Angiosperm
Alpinia strobiliformis,,Angiosperm
Alpinia strobiliformis var. glabra,,Angiosperm
Alpinia strobiliformis var. strobiliformis,,Angiosperm
Alpinia tonkinensis,,Angiosperm
Alpinia tonrokuensis,,Angiosperm
Alpinia uraiensis,,Angiosperm
Alpinia x-ilanensis,,Angiosperm
Alpinia zerumbet,,Angiosperm
Amomum austrosinense,,Angiosperm
Amomum capsiciforme,,Angiosperm
Amomum chinense,,Angiosperm
Amomum compactum,,Angiosperm
Amomum coriandriodorum,,Angiosperm
Amomum dealbatum,,Angiosperm
Amomum dolichanthum,,Angiosperm
Amomum fragile,,Angiosperm
Amomum gagnepainii,,Angiosperm
Amomum glabrum,,Angiosperm
Amomum jingxiense,,Angiosperm
Amomum koenigii,,Angiosperm
Amomum kwangsiense,,Angiosperm
Amomum longiligulare,,Angiosperm
Amomum longipetiolatum,,Angiosperm
Amomum maximum,,Angiosperm
Amomum menglaense,,Angiosperm
Amomum mengtzense,,Angiosperm
