Species name,Genus,Major group
Pyrus armeniacifolia,Pyrus,Angiosperm
Pyrus betulifolia,Pyrus,Angiosperm
Pyrus bretschneideri,Pyrus,Angiosperm
Pyrus calleryana,Pyrus,Angiosperm
Pyrus calleryana var. calleryana,Pyrus,Angiosperm
Pyrus calleryana var. integrifolia,Pyrus,Angiosperm
Pyrus calleryana var. koehnei,Pyrus,Angiosperm
Pyrus calleryana var. lanceata,Pyrus,Angiosperm
Pyrus communis var. sativa,Pyrus,Angiosperm
Pyrus hopeiensis,Pyrus,Angiosperm
Pyrus pashia,Pyrus,Angiosperm
Pyrus pashia var. grandiflora,Pyrus,Angiosperm
Pyrus pashia var. kumaoni,Pyrus,Angiosperm
Pyrus pashia var. obtusata,Pyrus,Angiosperm
Pyrus pashia var. pashia,Pyrus,Angiosperm
Pyrus phaeocarpa,Pyrus,Angiosperm
Pyrus pseudopashia,Pyrus,Angiosperm
Pyrus pyrifolia,Pyrus,Angiosperm
Pyrus serrulata,Pyrus,Angiosperm
Pyrus sinkiangensis,Pyrus,Angiosperm
Pyrus ussuriensis,Pyrus,Angiosperm
Pyrus xerophila,Pyrus,Angiosperm
Rosa acicularis,Rosa,Angiosperm
Rosa albertii,Rosa,Angiosperm
Rosa anemoniflora,Rosa,Angiosperm
Rosa baiyushanensis,Rosa,Angiosperm
Rosa banksiae,Rosa,Angiosperm
Rosa banksiae var. banksiae,Rosa,Angiosperm
Rosa banksiae var. normalis,Rosa,Angiosperm
Rosa banksiopsis,Rosa,Angiosperm
Rosa beggeriana,Rosa,Angiosperm
Rosa beggeriana var. beggeriana,Rosa,Angiosperm
Rosa beggeriana var. lioui,Rosa,Angiosperm
Rosa bella,Rosa,Angiosperm
Rosa bella var. bella,Rosa,Angiosperm
Rosa bella var. nuda,Rosa,Angiosperm
Rosa berberifolia,Rosa,Angiosperm
Rosa bracteata,Rosa,Angiosperm
Rosa bracteata var. bracteata,Rosa,Angiosperm
Rosa bracteata var. scabriacaulis,Rosa,Angiosperm
Rosa brunonii,Rosa,Angiosperm
Rosa calyptopoda,Rosa,Angiosperm
Rosa caudata,Rosa,Angiosperm
Rosa caudata var. caudata,Rosa,Angiosperm
Rosa caudata var. maxima,Rosa,Angiosperm
Rosa chengkouensis,Rosa,Angiosperm
Rosa chinensis,Rosa,Angiosperm
Rosa chinensis var. chinensis,Rosa,Angiosperm
Rosa chinensis var. semperflorens,Rosa,Angiosperm
Rosa chinensis var. spontanea,Rosa,Angiosperm
Rosa corymbulosa,Rosa,Angiosperm
Rosa cymosa,Rosa,Angiosperm
Rosa cymosa var. cymosa,Rosa,Angiosperm
Rosa cymosa var. dapanshanensis,Rosa,Angiosperm
Rosa cymosa var. puberula,Rosa,Angiosperm
Rosa daishanensis,Rosa,Angiosperm
Rosa davidii,Rosa,Angiosperm
Rosa davidii var. davidii,Rosa,Angiosperm
Rosa davidii var. elongata,Rosa,Angiosperm
Rosa davurica,Rosa,Angiosperm
Rosa davurica var. davurica,Rosa,Angiosperm
Rosa davurica var. glabra,Rosa,Angiosperm
Rosa davurica var. setacea,Rosa,Angiosperm
Rosa deqenensis,Rosa,Angiosperm
Rosa derongensis,Rosa,Angiosperm
Rosa duplicata,Rosa,Angiosperm
Rosa fargesiana,Rosa,Angiosperm
Rosa farreri,Rosa,Angiosperm
Rosa fedtschenkoana,Rosa,Angiosperm
Rosa filipes,Rosa,Angiosperm
Rosa foetida var. persiana,Rosa,Angiosperm
Rosa forrestiana,Rosa,Angiosperm
Rosa giraldii,Rosa,Angiosperm
Rosa giraldii var. bidentata,Rosa,Angiosperm
Rosa giraldii var. giraldii,Rosa,Angiosperm
Rosa giraldii var. venulosa,Rosa,Angiosperm
Rosa glomerata,Rosa,Angiosperm
Rosa graciliflora,Rosa,Angiosperm
Rosa helenae,Rosa,Angiosperm
Rosa henryi,Rosa,Angiosperm
Rosa hezhangensis,Rosa,Angiosperm
Rosa hugonis,Rosa,Angiosperm
Rosa kokanica,Rosa,Angiosperm
Rosa koreana,Rosa,Angiosperm
Rosa koreana var. glandulosa,Rosa,Angiosperm
Rosa koreana var. koreana,Rosa,Angiosperm
Rosa kunmingensis,Rosa,Angiosperm
Rosa kwangtungensis,Rosa,Angiosperm
Rosa kwangtungensis var. kwangtungensis,Rosa,Angiosperm
Rosa kwangtungensis var. mollis,Rosa,Angiosperm
Rosa kwangtungensis var. plena,Rosa,Angiosperm
Rosa kweichowensis,Rosa,Angiosperm
Rosa laevigata,Rosa,Angiosperm
Rosa langyashanica,Rosa,Angiosperm
Rosa lasiosepala,Rosa,Angiosperm
Rosa laxa,Rosa,Angiosperm
Rosa laxa var. laxa,Rosa,Angiosperm
Rosa laxa var. mollis,Rosa,Angiosperm
Rosa lichiangensis,Rosa,Angiosperm
Rosa longicuspis,Rosa,Angiosperm
Rosa longicuspis var. longicuspis,Rosa,Angiosperm
Rosa longicuspis var. sinowilsonii,Rosa,Angiosperm
Rosa luciae,Rosa,Angiosperm
Rosa luciae var. luciae,Rosa,Angiosperm
Rosa luciae var. rosea,Rosa,Angiosperm
Rosa lucidissima,Rosa,Angiosperm
Rosa ludingensis,Rosa,Angiosperm
Rosa macrophylla,Rosa,Angiosperm
Rosa macrophylla var. glandulifera,Rosa,Angiosperm
Rosa macrophylla var. macrophylla,Rosa,Angiosperm
Rosa mairei,Rosa,Angiosperm
Rosa maximowicziana,Rosa,Angiosperm
Rosa miyiensis,Rosa,Angiosperm
Rosa morrisonensis,Rosa,Angiosperm
Rosa moyesii,Rosa,Angiosperm
Rosa moyesii var. moyesii,Rosa,Angiosperm
Rosa moyesii var. pubescens,Rosa,Angiosperm
Rosa multibracteata,Rosa,Angiosperm
Rosa multiflora,Rosa,Angiosperm
Rosa multiflora var. cathayensis,Rosa,Angiosperm
Rosa multiflora var. multiflora,Rosa,Angiosperm
Rosa murielae,Rosa,Angiosperm
Rosa odorata,Rosa,Angiosperm
Rosa odorata var. erubescens,Rosa,Angiosperm
Rosa odorata var. gigantea,Rosa,Angiosperm
Rosa odorata var. odorata,Rosa,Angiosperm
Rosa odorata var. pseudoindica,Rosa,Angiosperm
Rosa omeiensis,Rosa,Angiosperm
Rosa oxyacantha,Rosa,Angiosperm
Rosa persetosa,Rosa,Angiosperm
Rosa pinnatisepala,Rosa,Angiosperm
Rosa platyacantha,Rosa,Angiosperm
Rosa praelucens,Rosa,Angiosperm
Rosa prattii,Rosa,Angiosperm
Rosa pricei,Rosa,Angiosperm
Rosa primula,Rosa,Angiosperm
Rosa pseudobanksiae,Rosa,Angiosperm
Rosa roxburghii,Rosa,Angiosperm
Rosa rubus,Rosa,Angiosperm
Rosa rugosa,Rosa,Angiosperm
Rosa sambucina var. pubescens,Rosa,Angiosperm
Rosa saturata,Rosa,Angiosperm
Rosa saturata var. glandulosa,Rosa,Angiosperm
Rosa saturata var. saturata,Rosa,Angiosperm
Rosa sect. Banksianae,Rosa,Angiosperm
Rosa sect. Bracteatae,Rosa,Angiosperm
Rosa sect. Chinenses,Rosa,Angiosperm
Rosa sect. Cinnamomeae,Rosa,Angiosperm
Rosa sect. Laevigatae,Rosa,Angiosperm
Rosa sect. Microphyllae,Rosa,Angiosperm
Rosa sect. Pimpinellifoliae,Rosa,Angiosperm
Rosa sect. Synstylae,Rosa,Angiosperm
Rosa sericea,Rosa,Angiosperm
Rosa sertata,Rosa,Angiosperm
Rosa sertata var. multijuga,Rosa,Angiosperm
Rosa sertata var. sertata,Rosa,Angiosperm
Rosa setipoda,Rosa,Angiosperm
Rosa shangchengensis,Rosa,Angiosperm
Rosa sikangensis,Rosa,Angiosperm
Rosa sinobiflora,Rosa,Angiosperm
Rosa soulieana,Rosa,Angiosperm
Rosa soulieana var. microphylla,Rosa,Angiosperm
Rosa soulieana var. soulieana,Rosa,Angiosperm
Rosa soulieana var. sungpanensis,Rosa,Angiosperm
Rosa soulieana var. yunnanensis,Rosa,Angiosperm
Rosa spinosissima,Rosa,Angiosperm
Rosa spinosissima var. altaica,Rosa,Angiosperm
Rosa spinosissima var. spinosissima,Rosa,Angiosperm
Rosa subgen. Hulthemia,Rosa,Angiosperm
Rosa subgen. Rosa,Rosa,Angiosperm
Rosa sweginzowii,Rosa,Angiosperm
