Species name,family,Major group
Pyrus,ROSACEAE,Angiosperm
Rosa,ROSACEAE,Angiosperm
Urtica,URTICACEAE,Angiosperm
Prunus,ROSACEAE,Angiosperm
Malus,ROSACEAE,Angiosperm
Amygdalus,ROSACEAE,Angiosperm
Cotoneaster,ROSACEAE,Angiosperm
Crataegus,ROSACEAE,Angiosperm
Sibiraea,ROSACEAE,Angiosperm
Sorbaria,ROSACEAE,Angiosperm
Armeniaca,ROSACEAE,Angiosperm
Cerasus,ROSACEAE,Angiosperm
Ulmus,ULMACEAE,Angiosperm
Sorbus,ROSACEAE,Angiosperm
Celtis,CANNABACEAE,Angiosperm
Ficus,MORACEAE,Angiosperm
Micromeles,ROSACEAE,Angiosperm
Photinia,ROSACEAE,Angiosperm
Eriobotrya,ROSACEAE,Angiosperm
