Species name,Family,Major group
Amygdalus communis,,Angiosperm
Amygdalus davidiana,,Angiosperm
Amygdalus davidiana var. davidiana,,Angiosperm
Amygdalus davidiana var. potaninii,,Angiosperm
Amygdalus ferganensis,,Angiosperm
Amygdalus kansuensis,,Angiosperm
Amygdalus mira,,Angiosperm
Amygdalus mongolica,,Angiosperm
Amygdalus nana,,Angiosperm
Amygdalus pedunculata,,Angiosperm
Amygdalus persica,,Angiosperm
Amygdalus tangutica,,Angiosperm
Amygdalus triloba,,Angiosperm
Armeniaca dasycarpa,,Angiosperm
Armeniaca holosericea,,Angiosperm
Armeniaca hongpingensis,,Angiosperm
Armeniaca hypotrichodes,,Angiosperm
Armeniaca limeixing,,Angiosperm
Armeniaca mandshurica,,Angiosperm
Armeniaca mandshurica var. glabra,,Angiosperm
Armeniaca mandshurica var. mandshurica,,Angiosperm
Armeniaca mume,,Angiosperm
Armeniaca mume var. cernua,,Angiosperm
Armeniaca mume var. mume,,Angiosperm
Armeniaca mume var. pallescens,,Angiosperm
Armeniaca mume var. pubicaulina,,Angiosperm
Armeniaca sibirica,,Angiosperm
Armeniaca sibirica var. multipetala,,Angiosperm
Armeniaca sibirica var. pleniflora,,Angiosperm
Armeniaca sibirica var. pubescens,,Angiosperm
Armeniaca sibirica var. sibirica,,Angiosperm
Armeniaca vulgaris,,Angiosperm
Armeniaca vulgaris var. ansu,,Angiosperm
Armeniaca vulgaris var. meixianensis,,Angiosperm
Armeniaca vulgaris var. vulgaris,,Angiosperm
Armeniaca vulgaris var. zhidanensis,,Angiosperm
Armeniaca xianjuxing,,Angiosperm
Armeniaca zhengheensis,,Angiosperm
Celtis biondii,,Angiosperm
Celtis bungeana,,Angiosperm
Celtis cerasifera,,Angiosperm
Celtis chekiangensis,,Angiosperm
Celtis julianae,,Angiosperm
Celtis koraiensis,,Angiosperm
Celtis philippensis,,Angiosperm
Celtis philippensis var. philippensis,,Angiosperm
Celtis philippensis var. wightii,,Angiosperm
Celtis sinensis,,Angiosperm
Celtis tetrandra,,Angiosperm
Celtis timorensis,,Angiosperm
Celtis vandervoetiana,,Angiosperm
Cerasus avium,,Angiosperm
Cerasus campanulata,,Angiosperm
Cerasus campanulata var. wuyiensis,,Angiosperm
Cerasus caudata,,Angiosperm
Cerasus cerasoides,,Angiosperm
Cerasus clarofolia,,Angiosperm
Cerasus conadenia,,Angiosperm
Cerasus conradinae,,Angiosperm
Cerasus crataegifolius,,Angiosperm
Cerasus cyclamina,,Angiosperm
Cerasus cyclamina var. biflora,,Angiosperm
Cerasus cyclamina var. cyclamina,,Angiosperm
Cerasus dictyoneura,,Angiosperm
Cerasus dielsiana,,Angiosperm
Cerasus dielsiana var. abbreviata,,Angiosperm
Cerasus dielsiana var. dielsiana,,Angiosperm
Cerasus discadenia,,Angiosperm
Cerasus discoidea,,Angiosperm
Cerasus dolichadenia,,Angiosperm
Cerasus fruticosa,,Angiosperm
Cerasus glandulosa,,Angiosperm
Cerasus hefengensis,,Angiosperm
Cerasus henryi,,Angiosperm
Cerasus humilis,,Angiosperm
Cerasus japonica,,Angiosperm
Cerasus japonica var. japonica,,Angiosperm
Cerasus japonica var. nakaii,,Angiosperm
Cerasus japonica var. zhejiangensis,,Angiosperm
Cerasus mahaleb,,Angiosperm
Cerasus maximowiczii,,Angiosperm
Cerasus mugus,,Angiosperm
Cerasus patentipila,,Angiosperm
Cerasus pleiocerasus,,Angiosperm
Cerasus pogonostyla,,Angiosperm
Cerasus pogonostyla var. obovata,,Angiosperm
Cerasus pogonostyla var. pogonostyla,,Angiosperm
Cerasus polytricha,,Angiosperm
Cerasus pseudocerasus,,Angiosperm
Cerasus pusilliflora,,Angiosperm
Cerasus schneideriana,,Angiosperm
Cerasus serrula,,Angiosperm
Cerasus serrulata,,Angiosperm
Cerasus serrulata var. lannesiana,,Angiosperm
Cerasus serrulata var. pubescens,,Angiosperm
Cerasus serrulata var. serrulata,,Angiosperm
Cerasus setulosa,,Angiosperm
Cerasus stipulacea,,Angiosperm
Cerasus subhirtella,,Angiosperm
Cerasus szechuanica,,Angiosperm
Cerasus tatsienensis,,Angiosperm
Cerasus tianshanica,,Angiosperm
Cerasus tomentosa,,Angiosperm
Cerasus trichantha,,Angiosperm
Cerasus trichostoma,,Angiosperm
Cerasus vulgaris,,Angiosperm
Cerasus yaoana,,Angiosperm
Cerasus yedoensis,,Angiosperm
Cerasus yunnanensis,,Angiosperm
Cerasus yunnanensis var. polybotrys,,Angiosperm
Cerasus yunnanensis var. yunnanensis,,Angiosperm
Cotoneaster acuminatus,,Angiosperm
Cotoneaster acutifolius,,Angiosperm
Cotoneaster acutifolius var. acutifolius,,Angiosperm
Cotoneaster acutifolius var. glabricalyx,,Angiosperm
Cotoneaster acutifolius var. lucidus,,Angiosperm
Cotoneaster acutifolius var. villosulus,,Angiosperm
Cotoneaster adpressus,,Angiosperm
Cotoneaster affinis,,Angiosperm
Cotoneaster ambiguus,,Angiosperm
Cotoneaster apiculatus,,Angiosperm
Cotoneaster bullatus,,Angiosperm
Cotoneaster bullatus var. bullatus,,Angiosperm
Cotoneaster bullatus var. camilli-schneideri,,Angiosperm
Cotoneaster bullatus var. floribundus,,Angiosperm
Cotoneaster bullatus var. macrophyllus,,Angiosperm
Cotoneaster buxifolius,,Angiosperm
Cotoneaster buxifolius var. buxifolius,,Angiosperm
Cotoneaster buxifolius var. marginatus,,Angiosperm
Cotoneaster buxifolius var. rockii,,Angiosperm
Cotoneaster chengkangensis,,Angiosperm
Cotoneaster chingshuiensis,,Angiosperm
Cotoneaster conspicuus,,Angiosperm
Cotoneaster coriaceus,,Angiosperm
Cotoneaster dammeri,,Angiosperm
Cotoneaster dammeri var. dammeri,,Angiosperm
Cotoneaster dammeri var. radicans,,Angiosperm
Cotoneaster dielsianus,,Angiosperm
Cotoneaster dielsianus var. dielsianus,,Angiosperm
Cotoneaster dielsianus var. elegans,,Angiosperm
Cotoneaster divaricatus,,Angiosperm
Cotoneaster fangianus,,Angiosperm
Cotoneaster floridus,,Angiosperm
Cotoneaster foveolatus,,Angiosperm
Cotoneaster franchetii,,Angiosperm
