taxon,family,group,flora_of_north_america,flora_of_china,moss_flora_of_china,flora_of_pakistan,ecoflora,wikipedia
Alpinia,,Angiosperm,"

Pseudostems well -developed, 1--3 m. Inflorescences projecting from tip of pseudostem, lax, paniculate; bracts of main axis remote [imbricate or not], minute [to 7 cm], scalelike [ovate to lance-oblong or lanceolate]; cincinni stalked, 1--3-flowered; bracteoles large, conspicuous [small or absent], enclosing cincinni. Flowers: calyx subcampanulate, shallowly 3-toothed, split down one side [not split]; corolla tube cylindric, lobes oblanceolate to elliptical; filament linear, plane; anther enclosed in corolla, not spurred, terminal appendage none; lateral staminodes absent or very small and connate with lip, lip ovate, tubular-incurved, notched. Fruits mostly indehiscent, globose. x = 11, 12.","

Rhizomes creeping, thick. Pseudostems many, well developed, rarely absent. Leaves many, rarely 1--4; leaf blade oblong or lanceolate. Inflorescence a terminal panicle, raceme, or spike, dense or lax, covered by 1--3 spatulate involucral bracts when immature; bracts (when present) open to base, rarely hooded, each subtending 1 flower or a cincinnus of 2 to many flowers; bracteoles open to base or tubular, rarely hooded, sometimes absent. Calyx usually tubular, sometimes split on 1 side. Corolla central lobe ± hooded, usually wider than lateral lobes. Lateral staminodes small or absent, subulate or toothlike, adnate to base of labellum. Labellum often showy, usually larger than corolla lobes, sometimes inconspicuous, margin variously lobed or entire. Filament present or absent; connective crested or not. Ovary usually 3-loculed and placentation axile. Stigma usually well expanded, sometimes clavate, rarely geniculate. Stylodes often massive. Capsule usually globose, dry or fleshy, indehiscent or irregularly dehiscent. Seeds numerous, often angled, arillate.",,,,"These herbs lack true stems, but have pseudostems usually up to about 3 metres (9.8 ft) long which are composed of the overlapping leaf sheaths.[2][3] A few species have been known to reach 8 metres (26 ft).[5] They grow from thick rhizomes. The leaves are lance-shaped to oblong. The inflorescence takes the form of a spike, a panicle, or a raceme. It may be hooded in bracts and bracteoles. The flower has a shallowly toothed calyx which is sometimes split on one side. The flower corolla is a cylindrical tube with three lobes at the mouth, the middle lobe larger and hoodlike in some taxa. There is one fertile stamen and two staminodes, which are often joined into a petal-like labellum, a structure that is inconspicuous in some species and quite showy in others. The fruit is a rounded, dry or fleshy capsule.[2][3] The plants are generally aromatic due to their essential oils.[6]




"
Amomum,,Angiosperm,,"

Rhizomes widely creeping. Pseudostems elongate. Leaf sheath long; ligule entire or 2-lobed; leaf blade usually oblong-lanceolate, oblong, or linear. Inflorescence arising from rhizomes, a densely flowered spike or spikelike raceme or panicle; peduncle short or rather long, clothed with imbricate, scalelike sheaths; involucre absent; bracts imbricate, persistent, sometimes soon disintegrating; bracteoles usually tubular. Calyx usually tubular, apex 3-toothed. Corolla tube cylindric; lobes oblong or linear-oblong, central one erect, usually wider and more convex than lateral ones. Lateral staminodes subulate, small, or absent. Labellum conspicuous, usually yellow or orange at center, with some red veins or marks, often white at margin, usually obovate, broadly concave. Filament well developed; anther locules parallel or diverging; connective appendage extending beyond apex of anther, entire or 3-lobed. Ovary 3-loculed; ovules many per locule, superposed. Style filiform; stigma usually funnelform, small, ciliate. Capsule irregularly dehiscent or indehiscent, smooth, prickly, or winged. Seeds oblong or many angled; aril fleshy or membranous, apex laciniate.",,,,
Boesenbergia,,Angiosperm,,"

Rhizomes tuberous or elongate. Leaves basal or cauline, petiolate; ligule 2-lobed; leaf blade ovate, oblong, or lanceolate. Inflorescences terminal on pseudostems or on separate shoots arising from rhizomes; bracts 2-ranked, apical one developing first, each subtending 1 bracteole and 1 flower. Calyx tubular. Corolla tube exserted from calyx, slender; lobes subequal. Lateral staminodes petaloid, usually wider than corolla lobes. Labellum obovate or broadly oblong, larger than corolla lobes and lateral staminodes, strongly concave, base narrow, grooved, margin crisped, apex entire or 2-cleft. Filament erect; anther locules parallel, dehiscing by slits or apical pores, base without spur; connective with or without appendage. Ovary 3-loculed or incompletely so; placentation basal or axile. Capsule oblong, 3-valved. Seeds black; aril laciniate.",,,,
Caulokaempferia,,Angiosperm,,"

Herbs perennial. Pseudostems erect, leafy. Leaves sessile or petiolate; ligule 2-lobed, small. Inflorescences terminal; bracts 1--10, distichous, lanceolate, 1--4-flowered, margin free to base; bracteoles absent in species with 1-flowered bracts. Calyx tubular, not deeply split on 1 side, apex often 2- or 3-toothed. Corolla tube long, narrow, widened at mouth; lobes 3, central one slightly longer and wider than lateral ones. Lateral staminodes petaloid, large. Labellum orbicular or broadly ovate, large, ± concave, apex entire or 2-lobed. Filament very short or absent, borne on corolla tube; anther basifixed; connective forming a conspicuously reflexed crest. Ovary 3-loculed. Stylodes linear, short, free.",,,,
Cautleya,,Angiosperm,,"

Rhizomes very short; roots fascicled, thick, fleshy. Leaves petiolate or ± sessile; ligule at base of petiole; leaf blade oblong or lanceolate. Inflorescence a terminal spike; bracts colored, persistent, 1-flowered. Flowers yellow or orange. Calyx long tubular, split on 1 side. Corolla tube equaling or longer than calyx; lobes subequal; central one erect, narrow, concave; lateral ones connate to claw of labellum for about 1/2 their length. Lateral staminodes erect, petaloid. Labellum reflexed, broadly cuneate, apex emarginate to 2-cleft. Filament erect, short; anther locules linear, contiguous; connective forming a basal, forked appendage. Ovary globose, 3-loculed; ovules numerous per locule; placentation axile. Style linear; stigma turbinate, margin ciliate. Capsule globose, soon dehiscing to base with recurved valves exposing seeds on a columnar mass. Seeds red, gray, or black, angled; aril small or absent.",,,,"Cautleya species grow from short rhizomes which have thick, fleshy roots. They have ""pseudostems"" formed by the tightly wrapped basal sheaths of their leaves. Depending on the species, the pseudostems may be 25–80 cm (10–31 in) high. Individual leaves consist of a sheath and a blade. At the junction of the sheath and blade, there is a stalk (petiole), which may be very short or absent.[3] The plants die back in the winter with shoots appearing again in spring.[4]

The yellow or orange flowers appear in the summer and are grouped into a spike (inflorescence). Each flower is surrounded by a persistent coloured bract. The sepals are joined to form a tubular calyx, divided on one side. The bases of the petals are fused to form a tube as long as or longer than the calyx. At the end of this tube the three petals form separate lobes: the central lobe is upright and narrower than the two side lobes. Inside the petal tube there are three petal-like structures (formed from staminodes). The side staminodes are upright. The broad central lip or labellum is bent downwards. It has a narrowed section (claw) at its base which is joined to the side lobes of the petal tube.[3]

There is a single stamen with a short upright filament. Connective tissue at the base of the anther forms a fork-like appendage. After fertilization, the seed capsule splits to the base showing a mass of red, grey or black seeds.[3]

"
Curcuma,,Angiosperm,"

Pseudostems absent. Inflorescences from rhizome branch without basal leaves [projecting among basal leaves], dense, cylindric; bracts of main axis crowded, [2--]4--9 cm, ovate to narrowly ovate or rectangular; cincinni sessile, 2--7-flowered, enclosed in bracts; bracteoles small, inconspicuous, hidden by bracts. Flowers: calyx short-cylindric, minutely 2--3-toothed, split down one side; corolla tube funnelform, lobes ovate or oblong; filament rectangular, plane; anther enclosed in corolla, base spurred, terminal appendage sometimes present, lingulate; lateral staminodes large, petal-like, lip concave, rounded or 2-fid. Fruits capsule, ellipsoid. x = 11, 21.","

Rhizomes branched, fleshy, aromatic, often with tuber-bearing roots. Leaves basal; leaf blade broadly lanceolate or oblong, rarely narrowly linear. Inflorescence a terminal spike on pseudostems or on separate shoots arising from rhizomes, sometimes appearing before leaves; peduncle erect; bracts connate for ca. 1/2 their length and forming pouches, spreading at free ends, each subtending a cincinnus of 2--7 flowers, apical bracts often differently colored, large, sterile, forming a coma; bracteoles free to base. Calyx usually shortly tubular, split on 1 side, apex 2- or 3-lobed or -toothed. Corolla funnelform; lobes ovate or oblong, subequal or central lobe longer, apex mucronate. Lateral staminodes petaloid, basally adnate to filament and labellum. Labellum with a thickened, central portion and thinner, lateral lobes overlapping with lateral staminodes. Filament short, broad; anther versatile, base usually spurred; connective appendage absent. Ovary 3-loculed. Capsule ellipsoid, 3-valved, dehiscent.",,"

Rhizome densely fleshy, branched, often with tuber bearing roots. Inflorescence terminal on a leafy shoot (i.e. borne in the centre of a leaf tuft) or on a separate shoot and sometimes precocious. Bracts adnate to each other for about half their length, forming pouches, each subtending a cincinnus of several flowers; uppermost bracts sterile and often differently coloured (the coma). Bracteoles open to the base. Calyx tubular, unilaterally split, unequally 3-lobed. Corolla tube infundibuliform, limb unequally 3-lobed. Lateral staminodes petaloid, folded under the dorsal petal. Labellum with a thickened central portion and thinner side lobes which overlap behind the staminodes. Anther versatile, spurred at the base.",,
Elettariopsis,,Angiosperm,,"

Herbs perennial, to 1 m tall. Rhizomes creeping, slender, bearing pseudostems at intervals. Leaves 1--8; ligule entire or 2-lobed; petiole erect, long; leaf blade ovate, lanceolate, elliptic, or oblong. Inflorescences arising from base of pseudostems, with flowers spaced along rachis or sometimes in an erect, dense head; rachis prostrate or erect, simple or branched; bracts 1- or 2-flowered; bracteoles open, not tubular. Calyx white or pinkish, tubular, apex 2- or 3-toothed. Corolla tube longer than calyx, slender; lobes 3, ovate-oblong or elliptic. Lateral staminodes absent or very short. Filament short and broad; connective appendage ± quadrate, lateral lobes not spreading. Ovary 3-loculed; ovules numerous per locule. Stigma obconical, ciliate. Stylodes 2, slender. Capsule globose, glabrous.",,,,
Etlingera,,Angiosperm,,"

Rhizomes creeping. Pseudostems robust. Leaves petiolate, lanceolate, large. Inflorescence arising from rhizomes, a spike or head with flowers arranged in 3 or 4 concentric circles on a flat receptacle, base surrounded by numerous sterile, involucral bracts; peduncle raised well above ground and long, or embedded in ground and short; bracts 1-flowered; bracteoles long tubular. Calyx tubular, membranous, split on 1 side, apex 3-toothed. Corolla tube equaling or longer than calyx; lobes 3, much shorter than tube. Lateral staminodes absent. Labellum tongue-shaped, ± 3-lobed, much longer than corolla lobes, base adnate to filament forming a distinct tube; central lobe colored, apex entire or 2-lobed; lateral lobes basally folded over stamen. Stamen shorter than labellum; free part of filament very short and rather broad; anther bent forward; connective appendage absent. Ovary 3-loculed; ovules numerous per locule. Capsule fleshy, indehiscent, smooth, longitudinally ridged, or with obtuse warts in rows.",,,,
Globba,,Angiosperm,,"

Rhizomes creeping, slender. Pseudostems erect, usually to 1.5 m, leafy. Leaves sessile or very shortly petiolate; ligule entire; leaf blade oblong, elliptic, or lanceolate. Inflorescence terminal, a thyrse or raceme, often lax; bracts each subtending a cincinnus of flowers, or flowers replaced by bulblets; bracteoles free to base. Calyx campanulate or turbinate, apex obtusely 3-lobed. Corolla tube slender; lobes ovate or oblong, subequal, concave. Lateral staminodes petaloid. Labellum reflexed, adnate to filament to form a slender tube above lateral staminodes and corolla lobes. Filament long, curved; anther with or without appendages on each side. Ovary 1-loculed. Capsule globose or ellipsoid, apex irregularly dehiscent. Seeds small; aril white, lacerate.",,,,
Hedychium,,Angiosperm,"[Greek edys, sweet, and chion, snow, for the fragrant white flowers]  



Pseudostems well -developed, 1--3 m. Inflorescences projecting from tip of pseudostem, dense, conelike [lax]; bracts of main axis crowded [not crowded], [2.5--]4--6[--7] cm, ovate to lanceolate [or almost circular]; cincinni sessile, [1--]2--3[--6]-flowered, enclosed in bracts; bracteoles small, inconspicuous, hidden by bracts. Flowers: calyx cylindric, 3-toothed or -lobed, split down one side [not split]; corolla tube slender, lobes linear; filament linear, tubular-incurved, enclosing style; anther long-exserted, not spurred, terminal appendage none; lateral staminodes large, petal-like, lip oblong, plane, 2-lobed. Fruits capsule, globose. x = 17.","

Herbs terrestrial or epiphytic, with tuberous rhizomes. Pseudostems erect, leafy. Ligule conspicuous; leaf blade usually oblong or lanceolate. Inflorescence a terminal spike, densely numerous flowered; bracts imbricate or lax, 1- or more flowered; bracteoles tubular. Calyx tubular, usually split on 1 side, apex truncate or 3-toothed. Corolla tube long, slender; lobes reflexed at anthesis, linear. Lateral staminodes petaloid, larger than corolla lobes. Labellum suborbicular, large, apex usually 2-cleft; claw long or short. Filament usually long, rarely absent; anther dorsifixed, base divaricate; connective appendage absent. Ovary 3-loculed; placentation axile. Capsule globose, 3-valved. Seeds numerous; aril lacerate.",,,,
